title;link;score
How to capitalize LaTeX3 sequence element in document input stream?;https://tex.stackexchange.com/questions/575102/how-to-capitalize-latex3-sequence-element-in-document-input-stream;0
Replicate similar structured macro definitions with LaTeX3;https://tex.stackexchange.com/questions/573796/replicate-similar-structured-macro-definitions-with-latex3;0
Latex3: How to test if macro is empty?;https://tex.stackexchange.com/questions/573742/latex3-how-to-test-if-macro-is-empty;0
How to check if some macro defined via \string\string{}\string\csname{}{} is empty?;https://tex.stackexchange.com/questions/573114/how-to-check-if-some-macro-defined-via-csname-is-empty;1
How to understand correctly scope of local variable in LaTeX3?;https://tex.stackexchange.com/questions/571510/how-to-understand-correctly-scope-of-local-variable-in-latex3;4
Improper alphabetic constant error in title with greek: bug with unicode-math and hyperref in LuaLaTeX;https://tex.stackexchange.com/questions/570000/improper-alphabetic-constant-error-in-title-with-greek-bug-with-unicode-math-an;3
How to index table cells?;https://tex.stackexchange.com/questions/526410/how-to-index-table-cells;0
LuaLaTeX: How to include a generated file size in document?;https://tex.stackexchange.com/questions/546179/lualatex-how-to-include-a-generated-file-size-in-document;2
FOS Open Sans font for cyrillic in latest TexLive;https://tex.stackexchange.com/questions/539975/fos-open-sans-font-for-cyrillic-in-latest-texlive;0
Adding numberless chapters to the table of contents with titlesec;https://tex.stackexchange.com/questions/538017/adding-numberless-chapters-to-the-table-of-contents-with-titlesec;0
Piecewise function for points;https://tex.stackexchange.com/questions/519534/piecewise-function-for-points;2
How to use \string\csname{}\string\endcsname{} in LaTeX3 way?;https://tex.stackexchange.com/questions/526272/how-to-use-csname-endcsname-in-latex3-way;2
Unknown errors with pax package with lualatex compiling;https://tex.stackexchange.com/questions/483096/unknown-errors-with-pax-package-with-lualatex-compiling;1
Text formating depending on conditions;https://tex.stackexchange.com/questions/246404/text-formating-depending-on-conditions;6
Tcolorbox parbox=false option breaks by height fill option;https://tex.stackexchange.com/questions/521634/tcolorbox-parbox-false-option-breaks-by-height-fill-option;3
Using mathematical typesetting packages with `XeLaTeX` and `LuaLaTeX`;https://tex.stackexchange.com/questions/522528/using-mathematical-typesetting-packages-with-xelatex-and-lualatex;4
How to move tcolorbox's boxed title to place in front of the box?;https://tex.stackexchange.com/questions/521666/how-to-move-tcolorboxs-boxed-title-to-place-in-front-of-the-box;5
How to enlarge unused space of tcolorbox interior to the bottom of a page?;https://tex.stackexchange.com/questions/521586/how-to-enlarge-unused-space-of-tcolorbox-interior-to-the-bottom-of-a-page;0
Marginalia inside tcolorbox;https://tex.stackexchange.com/questions/220153/marginalia-inside-tcolorbox;5
Breackable tcolorbox: wrong odd/even page recognition;https://tex.stackexchange.com/questions/520532/breackable-tcolorbox-wrong-odd-even-page-recognition;1
Move a pgfplot's minor grid on behind the major one;https://tex.stackexchange.com/questions/519790/move-a-pgfplots-minor-grid-on-behind-the-major-one;2
Scale factor of pgfplot's xtick with mask;https://tex.stackexchange.com/questions/519747/scale-factor-of-pgfplots-xtick-with-mask;4
How to put an x-coordinates of a points as extra x ticks?;https://tex.stackexchange.com/questions/519488/how-to-put-an-x-coordinates-of-a-points-as-extra-x-ticks;1
How to print number with predefined exponent base (pgf)?;https://tex.stackexchange.com/questions/519389/how-to-print-number-with-predefined-exponent-base-pgf;2
How to draw a tangent line to a parametrically defined curve in an arbitrary point (plotted with raw gnuplot option)?;https://tex.stackexchange.com/questions/513029/how-to-draw-a-tangent-line-to-a-parametrically-defined-curve-in-an-arbitrary-poi;1
The error occurred after the last update;https://tex.stackexchange.com/questions/511341/the-error-occurred-after-the-last-update;1
Placement of table in pgfplot;https://tex.stackexchange.com/questions/510074/placement-of-table-in-pgfplot;2
How to get mantissa and exponent of a number from within pgf/fpu?;https://tex.stackexchange.com/questions/509703/how-to-get-mantissa-and-exponent-of-a-number-from-within-pgf-fpu;1
Unexpected behaviour of TeX condition in \string\draw{} macro;https://tex.stackexchange.com/questions/397382/unexpected-behaviour-of-tex-condition-in-draw-macro;4
Deformation of rectangular plot;https://tex.stackexchange.com/questions/493806/deformation-of-rectangular-plot;8
Tcolorbox tcbcol@back and tcbcol@frame are undefined in 4.20;https://tex.stackexchange.com/questions/490074/tcolorbox-tcbcolback-and-tcbcolframe-are-undefined-in-4-20;5
How to replace last comma by dot after last encountered word?;https://tex.stackexchange.com/questions/487748/how-to-replace-last-comma-by-dot-after-last-encountered-word;0
How to replace last comma by dot in comma-separated words from datatool's database?;https://tex.stackexchange.com/questions/487682/how-to-replace-last-comma-by-dot-in-comma-separated-words-from-datatools-databa;1
Make text heavier using pdfrender for article thanks field and pagenumbers;https://tex.stackexchange.com/questions/479567/make-text-heavier-using-pdfrender-for-article-thanks-field-and-pagenumbers;0
LaTeX3 Error in MOdiagram package;https://tex.stackexchange.com/questions/474476/latex3-error-in-modiagram-package;4
Redefine \string\title{} for possibility of a forced line breaking in a predefined place;https://tex.stackexchange.com/questions/466095/redefine-title-for-possibility-of-a-forced-line-breaking-in-a-predefined-place;3
Tcbtheorem with crosslinking;https://tex.stackexchange.com/questions/461551/tcbtheorem-with-crosslinking;1
Vertical spacing \string\vfill{} inside tcolorbox;https://tex.stackexchange.com/questions/220094/vertical-spacing-vfill-inside-tcolorbox;5
Indentation in ntheorem with inserted picture;https://tex.stackexchange.com/questions/436692/indentation-in-ntheorem-with-inserted-picture;0
Wrapping about of a tikzpicture placed between two theorem-environments;https://tex.stackexchange.com/questions/436022/wrapping-about-of-a-tikzpicture-placed-between-two-theorem-environments;2
How to set the same exponent of 10 in in scientific notation for column in pgfplotstable?;https://tex.stackexchange.com/questions/434876/how-to-set-the-same-exponent-of-10-in-in-scientific-notation-for-column-in-pgfpl;2
Roman style of an author field in biblatex's bibstyle GOST;https://tex.stackexchange.com/questions/431295/roman-style-of-an-author-field-in-biblatexs-bibstyle-gost;7
Nonlinear transformation of tikzpicture according to a function;https://tex.stackexchange.com/questions/426701/nonlinear-transformation-of-tikzpicture-according-to-a-function;3
Failure of if condition inside \string\titlecontents{};https://tex.stackexchange.com/questions/414493/failure-of-if-condition-inside-titlecontents;1
Arrow in arbitrary position on pgf/gnuplot curve;https://tex.stackexchange.com/questions/406351/arrow-in-arbitrary-position-on-pgf-gnuplot-curve;3
Automatically numbering child equations with the parental number by adding letter;https://tex.stackexchange.com/questions/396413/automatically-numbering-child-equations-with-the-parental-number-by-adding-lette;1
Tikz shape as node;https://tex.stackexchange.com/questions/395732/tikz-shape-as-node;10
Distances in TOC entry of section with mark;https://tex.stackexchange.com/questions/384080/distances-in-toc-entry-of-section-with-mark;0
Shape of walking man in tikz;https://tex.stackexchange.com/questions/386903/shape-of-walking-man-in-tikz;3
How to automatize to draw a broken line with intersections with two straight lines;https://tex.stackexchange.com/questions/386843/how-to-automatize-to-draw-a-broken-line-with-intersections-with-two-straight-lin;2
How to compare two macros containing Cyrillic?;https://tex.stackexchange.com/questions/383224/how-to-compare-two-macros-containing-cyrillic;1
How to create list and assign it to variable?;https://tex.stackexchange.com/questions/382776/how-to-create-list-and-assign-it-to-variable;4
(answer package) Preventing hyperlink to missing answer of problem;https://tex.stackexchange.com/questions/381049/answer-package-preventing-hyperlink-to-missing-answer-of-problem;2
Torus with cross-section and cut;https://tex.stackexchange.com/questions/380753/torus-with-cross-section-and-cut;3
Longest Collatz sequence calculated with LaTeX;https://tex.stackexchange.com/questions/372648/longest-collatz-sequence-calculated-with-latex;20
Problem with definition variable and the loops in exp3;https://tex.stackexchange.com/questions/372505/problem-with-definition-variable-and-the-loops-in-exp3;1
How to get a value returned by user defined function in expl3?;https://tex.stackexchange.com/questions/372455/how-to-get-a-value-returned-by-user-defined-function-in-expl3;3
How to place expl3 function output to variable not in stream?;https://tex.stackexchange.com/questions/372288/how-to-place-expl3-function-output-to-variable-not-in-stream;3
How to get an Integer from roman number via string variable in expl3?;https://tex.stackexchange.com/questions/372265/how-to-get-an-integer-from-roman-number-via-string-variable-in-expl3;5
Calculating number of symbols in the file with expl3;https://tex.stackexchange.com/questions/372243/calculating-number-of-symbols-in-the-file-with-expl3;3
Problem with evaluating integers with LaTeX3 with an intermediate variable;https://tex.stackexchange.com/questions/372090/problem-with-evaluating-integers-with-latex3-with-an-intermediate-variable;5
Batch compiling several files with Latexmk.exe;https://tex.stackexchange.com/questions/368557/batch-compiling-several-files-with-latexmk-exe;2
Problem with polyglossia behaviour for LuaLaTeX 1.0.4. Possible bug?;https://tex.stackexchange.com/questions/366460/problem-with-polyglossia-behaviour-for-lualatex-1-0-4-possible-bug;3
Count number of lines in a file with `latex3`;https://tex.stackexchange.com/questions/363805/count-number-of-lines-in-a-file-with-latex3;3
Draw a contour around part of modiagram;https://tex.stackexchange.com/questions/362316/draw-a-contour-around-part-of-modiagram;2
Read cell value from string array and it assign to macro;https://tex.stackexchange.com/questions/362778/read-cell-value-from-string-array-and-it-assign-to-macro;6
Boron molecular orbital diagram;https://tex.stackexchange.com/questions/361741/boron-molecular-orbital-diagram;3
Drawing arrows from a plot to formula;https://tex.stackexchange.com/questions/357733/drawing-arrows-from-a-plot-to-formula;2
Control on booktabs elements;https://tex.stackexchange.com/questions/357505/control-on-booktabs-elements;2
Table of contents with xtemplate (expl3);https://tex.stackexchange.com/questions/246595/table-of-contents-with-xtemplate-expl3;9
A LaTeX3 new macro/function definition problems;https://tex.stackexchange.com/questions/350908/a-latex3-new-macro-function-definition-problems;3
Problem with Python 3 and Pythontex;https://tex.stackexchange.com/questions/343540/problem-with-python-3-and-pythontex;0
Cyrillic hyphenation with lualatex using luainputenc;https://tex.stackexchange.com/questions/300988/cyrillic-hyphenation-with-lualatex-using-luainputenc;5
Possible bug of mhchem package v4.05;https://tex.stackexchange.com/questions/333228/possible-bug-of-mhchem-package-v4-05;0
Shading areas separated by the one curve in coordinate plane;https://tex.stackexchange.com/questions/332415/shading-areas-separated-by-the-one-curve-in-coordinate-plane;1
Wrong intersection position between curve and vertical line;https://tex.stackexchange.com/questions/330364/wrong-intersection-position-between-curve-and-vertical-line;2
Bezier curves and centering of plot in the page;https://tex.stackexchange.com/questions/329181/bezier-curves-and-centering-of-plot-in-the-page;3
Tikz decoration.tex library broke my plots;https://tex.stackexchange.com/questions/329019/tikz-decoration-tex-library-broke-my-plots;2
Point on axis in pgfplots;https://tex.stackexchange.com/questions/328970/point-on-axis-in-pgfplots;2
TeX-file output another TeX-file;https://tex.stackexchange.com/questions/311797/tex-file-output-another-tex-file;1
Different justification for table caption;https://tex.stackexchange.com/questions/310333/different-justification-for-table-caption;1
Control last page filling;https://tex.stackexchange.com/questions/308302/control-last-page-filling;1
What is the suitable package to write a chemical chain reaction?;https://tex.stackexchange.com/questions/304815/what-is-the-suitable-package-to-write-a-chemical-chain-reaction;1
Patching \string\l{}@part macro for TOC view;https://tex.stackexchange.com/questions/301095/patching-lpart-macro-for-toc-view;1
Why does pdflatex write to toc-file \string\cyr{}-commands even with utf8 document encoding?;https://tex.stackexchange.com/questions/300964/why-does-pdflatex-write-to-toc-file-cyr-commands-even-with-utf8-document-encodi;3
Run pdflatex.exe from LuaLaTeX document;https://tex.stackexchange.com/questions/299986/run-pdflatex-exe-from-lualatex-document;0
How to remove period after part number in TOC (KOMA used);https://tex.stackexchange.com/questions/223798/how-to-remove-period-after-part-number-in-toc-koma-used;3
mmap/cmap package does not affect on some fonts;https://tex.stackexchange.com/questions/300244/mmap-cmap-package-does-not-affect-on-some-fonts;2
Texts, lines and length;https://tex.stackexchange.com/questions/282427/texts-lines-and-length;3
Package hyperref destroy \string\leftmark{} and \string\rightmark{} with KOMA;https://tex.stackexchange.com/questions/223919/package-hyperref-destroy-leftmark-and-rightmark-with-koma;5
Draw dipole field lines;https://tex.stackexchange.com/questions/248967/draw-dipole-field-lines;5
Indentation inside tcolorbox;https://tex.stackexchange.com/questions/217974/indentation-inside-tcolorbox;3
PDF as a data container;https://tex.stackexchange.com/questions/225300/pdf-as-a-data-container;0
Bug with XeLaTeX \string\setmainfont{}{CMU Serif} command displaying Bold/Italic/BoldItalic fonts;https://tex.stackexchange.com/questions/222432/bug-with-xelatex-setmainfontcmu-serif-command-displaying-bold-italic-boldital;2
Delimited \string\def{}'s and expansion;https://tex.stackexchange.com/questions/224714/delimited-defs-and-expansion;5
PdfLaTeX's \string\write{} into file for cyrillic with utf8 gives unwanted \string\cyr{};https://tex.stackexchange.com/questions/224103/pdflatexs-write-into-file-for-cyrillic-with-utf8-gives-unwanted-cyr;2
How to write totally expanded macro to file (with LaTeX kernel);https://tex.stackexchange.com/questions/224485/how-to-write-totally-expanded-macro-to-file-with-latex-kernel;0
Separator between author names (with LaTeX kernel programming);https://tex.stackexchange.com/questions/224449/separator-between-author-names-with-latex-kernel-programming;2
Write/Read values of the LaTeX commands (like \string\title{}, \ author etc) in file using Lua;https://tex.stackexchange.com/questions/223471/write-read-values-of-the-latex-commands-like-title-author-etc-in-file-usin;3
How to write authors of an article to the file?;https://tex.stackexchange.com/questions/223512/how-to-write-authors-of-an-article-to-the-file;2
